Name,Description,Date,Amount
هيئة المساحة الجيولوجية السعودية,توريد قطع غيار لمختبر المياه ,2023-03-15,172500.0
هيئة المساحة الجيولوجية السعودية,توريد مواد كيميائية لمختبر المياه ,2023-03-15,95588.0
أمانة العاصمة المقدسة,ترميم الإدارات التابعة لأمانة العاصمة المقدسة,2023-04-19,2409100.5
الجامعة الإسلامية بالمدينة المنورة,تجهيز خيمة مهرجان الثقافات والشعوب الحادي عشر ,2023-02-27,1643350.0
جامعة القصيم,تأمين وسائل الإيضاح والوسائل التعليمية للجامعة وفروعها وورق كراسات إجابة للكليات الشرعية والانسانية,2023-02-01,4995111.25
وزارة البيئة والمياه والزراعة,تطوير نظام إدارة الأصول البرمجية والرخص بالوزارة,2023-04-22,3444114.3
إدارة التعليم بمنطقة الباحة,ازالة وتنفيذ سور على جدار ساند لمدرسة ال موسى الابتدائية (بنين),2023-01-30,239133.58
إدارة التعليم بمنطقة الباحة,عملية التأهيل الجزئي للورشة التعليمية ببشير,2023-01-30,470446.65
هيئة الهلال الأحمر السعودي,توريد وتركيب وحدات تكييف (إسبيلت – شباك ) في منطقة مكة المكرمة لموسم حج 1444 هـ ,2023-03-30,216660.0
هيئة الهلال الأحمر السعودي,تجهيز وصيانة المباني والمراكز الإسعافية ومهبط الطيران بمشعر عرفات - منطقة مكة المكرمة,2023-02-26,728525.0
هيئة الهلال الأحمر السعودي,صيانة وتشغيل المكيفات بمنطقة المشاعر المقدسة,2023-03-02,237532.5
الشئون الصحية بمنطقة نجران,منافسة تامين ضد الغير لمركبات الشئون الصحية بمنطقة نجران,2023-06-06,292974.0
أمانة محافظة جدة,صيانة وترميم أرصفة الشوارع بالمحاور الرئيسية شمال محافظة جدة 17056 ,2023-05-21,24983935.0
أمانة محافظة جدة,صيانة وترميم أرصفة الشوارع بالمحاور الرئيسية غرب جدة 17057 ,2023-05-15,24959770.0
أمانة محافظة جدة,صيانة وترميم أرصفة الشوارع بالمحاور الرئيسية وسط جدة 17058 ,2023-06-05,24971300.0
أمانة محافظة جدة,صيانة وترميم أرصفة الشوارع بالمحاور الرئيسية شرق محافظة جدة 17055 ,2023-05-18,20270280.0
أمانة محافظة جدة,صيانـة وتحسين التقاطعات المرورية شرق محافظة جدة 17061 ,2023-04-26,24964198.0
أمانة محافظة جدة,صيانـة وتحسين التقاطعات المرورية شمال محافظة جدة 17060,2023-04-26,24964198.0
أمانة محافظة جدة,صيانـة وتحسين التقاطعات المرورية جنوب محافظة جدة 17059,2023-05-02,24992948.0
وزارة الرياضة,استبدال أرضية الملعب الرديف بالعشب الطبيعي بالنادي الأهلي بجدة,2023-02-12,1640001.03
أمانة منطقة حائل,صيانة وترميم مبنى بلدية الجنوب,2023-02-28,3799255.0
المؤسسة العامة لتحلية المياه المالحة,تركيب اعمال الكهرباء والأجهزة الخاصة بمحطة تحلية المياه المتنقلة20K ,2023-05-17,554493.2
وزارة الشئون البلدية والقروية والأسكان,تطوير واتمتة ونشر خدمات صوت العميل وخدمة العملاء,2023-06-14,11199354.07
الهيئة العامة للعقار,تطوير دورة تدريبية إلكترونية بعنوان ( الوساطة العقارية ),2023-02-14,150000.0
إدارة التعليم بمحافظة المذنب,عملية تأهيل مبنى روضة الثامرية + مبنى مدرسة اليرموك للطفولة المبكرة,2023-05-22,298200.0
أمانة محافظة جدة,أعمال صيانة وتشغيل ونظافة المباني التابعة لأمانة محافظة جدة ١٧٠٣٦,2023-05-15,24352633.41
هيئة الهلال الأحمر السعودي, تجهيز وصيانة المباني والمراكز الإسعافية بمشعر مزدلفة وعرفات ومنى في منطقة مكة المكرمة,2023-03-02,458459.0
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,"مشروع إنشاء مبنى آليات الإطفاء بمستشفى الملك فيصل التخصصي ومركز الأبحاث – فرع جدة """,2023-06-12,519960.45
أمانة محافظة جدة,دراسة ورصد وتحديث الأصول الثابتة جيومكانيا المرحلة الأولى - وكالة التعمير 17029 ,2023-05-27,2420000.0
أمانة منطقة الجوف,اعمال الصيانة للبنية التحتية لشبكة الانارة في بعض المخططات الخاصة ,2023-05-30,1989500.0
المركز السعودى لكفاءة الطاقة,توريد وتركيب وتشغيل وصيانة أنظمة المعاملات والأرشفة الإلكترونية,2023-04-05,1104000.0
هيئة المساحة الجيولوجية السعودية,التعاقد مع مكتب استشاري لمراقبة فلترة و تعقيم و تخزين المياة,2023-03-22,192050.0
أدارة الموارد الذاتية بصحة جدة,نظام الخدمة الذاتية للمراكز الصحية التابعة لصحة جدة,2023-03-30,2250320.0
هيئة تطوير منطقة عسير,تأثيث وتجهيزات مكتبية لمبنى توسعة المقر الحالي للهيئة ,2023-03-20,316816.95
المؤسسة العامة لتحلية المياه المالحة,توريد وتركيب طبقة المطاط الواقي (N45) بسماكة 5 ملم لخزان نازع الاكسجين عدد (2) وحدة تحلية مرحلة ثانية ,2023-03-21,241500.0
المؤسسة العامة لتحلية المياه المالحة,"الصيانة اللازمة لمغذي الدخل الرئيسي H03  ,وقاطع الربط H04 بغرفة القواطع الكهربائية الرئيسية 33 ك ف بوحدة انتاج المياه المحلاة برابغ",2023-06-06,1093075.0
إدارة التعليم بمحافظة عنيزة, صيانة وإصلاح وتشغيل ونظافة المرافق لمبنى مركز القصيم العلمي في محافظة عنيزة,2023-04-10,4140000.0
بلدية المضايا,سفلتة وأرصفة وإنارة للأمانة والبلديات التابعة لها ( تأهيل السلامة المرورية لنطاق بلدية المضايا ),2023-03-21,1429450.0
ميناء جدة الاسلامي,تقديم خدمات متكاملة للسلامة و مكافحة الحريق والأمن الصناعي بميناء جدة الإسلامي,2023-07-16,63863514.0
بنك التنمية الاجتماعية,تأهيل جادة 30 بمدينة الجوف,2023-04-14,2609000.0
بنك التنمية الاجتماعية,زيادة رخص منتجات مايكروسوفت,2023-05-05,232188.45
بنك التنمية الاجتماعية,توريد وتشغيل وصيانة منافذ بيع مؤقتة للأسر المنتجة (أكشاك متنقلة),2023-04-09,7061000.0
أمانة منطقة الحدود الشمالية,تأمين سيارات بنظام التأجير لبلدية محافظة رفحاء,2023-02-17,2708731.8
جامعة حفر الباطن,تشغيل وصيانة ونظافة مباني كليات جامعة حفرالباطن بالخفجي والنعيرية ,2023-03-02,15597999.99
هيئة الإذاعة والتلفزيون,تشغيل وصيانة ونظافة محطات الإرسال الإذاعي للموجات القصيرة وإرسال خريص المتوسطة في الرياض ,2023-05-16,10715336.0
هيئة الإذاعة والتلفزيون,تشغيل وصيانة ونظافة محطة الموجات القصيرة بحائل والرس الإذاعية,2023-05-18,4597845.18
هيئة الإذاعة والتلفزيون,تشغيل وصيانة ونظافة محطة إرسال بيشة الإذاعية ,2023-03-21,5036492.22
هيئة الإذاعة والتلفزيون,تشغيل وصيانة ونظافة محطات الإرسال الإذاعي في كل من الدمام والأحساء وحفرالباطن,2023-05-16,20793000.0
